Week,Day,Focus,Main Workout,Accessory/Engine Work,Notes
1,Monday,Lower Strength + Ski,"Back Squat: 3x5 @ 75%, RDL: 3x8",SkiErg: 10 x 250m (Rest 90s),Focus on technique.
1,Tuesday,Threshold Run,"Run: 10m Warmup, 3 x 8min @ Threshold (2m rest), 10m Cooldown",Core: 3 rounds Planks/Hollow Rocks,Pace should be uncomfortable.
1,Wednesday,Upper Strength + Zone 2,"OH Press: 3x5, Wtd Pullups: 3x5, Bench: 3x8",45 min Row/Bike @ Zone 2 (Easy),Don't spike HR.
1,Thursday,Hyrox Sim,"1k Run, Sled Push, 1k Run, Sled Pull, 1k Run, 50 Wall Balls",-,Practice fast transitions.
1,Friday,Unilateral + Skill,"Bulg. Split Squat: 3x8/leg, SA KB Press: 3x10",EMOM 10: 5 Burpee Broad Jumps,Focus on balance.
1,Saturday,Long Run,60 mins: 45m Easy / 15m Race Pace,Mobility: Hips/Ankles,Build the engine.
1,Sunday,Rest,Full Rest,Walk 30 mins,Meal prep.
2,Monday,Lower Strength + Ski,"Back Squat: 3x5 @ 77.5%, RDL: 3x8",SkiErg: 10 x 250m (Rest 90s),Try to beat last week's avg pace.
2,Tuesday,Threshold Run,"Run: 10m Warmup, 4 x 7min @ Threshold (2m rest), 10m Cooldown",Core: 3 rounds Ab Wheel/Leg Raises,Total threshold time increased.
2,Wednesday,Upper Strength + Zone 2,"OH Press: 3x5, Wtd Pullups: 3x5, Bench: 3x8",50 min Row/Bike @ Zone 2,Keep it steady.
2,Thursday,Hyrox Sim,"1k Run, 1000m Row, 1k Run, 200m Farmers Carry, 1k Run, 50 Wall Balls",-,Heavy on the grip today.
2,Friday,Unilateral + Skill,"Bulg. Split Squat: 3x8/leg, SA KB Press: 3x10",EMOM 12: 5 Burpee Broad Jumps,Volume up.
2,Saturday,Long Run,65 mins: 50m Easy / 15m Race Pace,Mobility,Add 5 mins to easy segment.
2,Sunday,Rest,Full Rest,-,Recover.
3,Monday,Lower Strength + Ski,"Back Squat: 3x5 @ 80%, RDL: 3x8",SkiErg: 8 x 500m (Rest 2:00),"Longer intervals, hold pace."
3,Tuesday,Threshold Run,"Run: 10m Warmup, 3 x 10min @ Threshold (2m rest), 10m Cooldown",Core,Mental toughness day.
3,Wednesday,Upper Strength + Zone 2,"OH Press: 3x5, Wtd Pullups: 3x5, Bench: 3x8",55 min Row/Bike @ Zone 2,Almost an hour.
3,Thursday,Hyrox Sim,"1k Run, 1000m Ski, 1k Run, Sled Push, 1k Run, Lunges (40m)",-,Leg burner.
3,Friday,Unilateral + Skill,"Bulg. Split Squat: 3x10/leg, SA KB Press: 3x12",EMOM 10: 6 Burpee Broad Jumps,Reps increased.
3,Saturday,Long Run,70 mins: 50m Easy / 20m Race Pace,Mobility,Race pace block increased.
3,Sunday,Rest,Full Rest,-,Recover.
4,Monday,Lower Strength (Deload),"Back Squat: 3x5 @ 60%, RDL: 3x8 (Light)",SkiErg: 5k Steady State (Moderate),Active recovery week.
4,Tuesday,Easy Run,30 min Easy Run,Core,No threshold work.
4,Wednesday,Upper Strength (Deload),"OH Press: 3x5 (Light), Pullups: Bodyweight",30 min Bike,Light load.
4,Thursday,Mobility Flow,45 mins Yoga or Mobility,-,Deep stretch.
4,Friday,Skill Only,Practice transitions and wall ball form (Light ball),-,Technical work only.
4,Saturday,Medium Run,45 mins Easy,-,Just moving.
4,Sunday,Rest,Full Rest,-,Prepare for Week 5.
5,Monday,Lower Strength + Ski,"Back Squat: 5x3 @ 82.5%, RDL: 4x6",SkiErg: 10 x 300m (Rest 90s),Intensity increases (Triples).
5,Tuesday,Threshold Run,"Run: 10m Warmup, 4 x 8min @ Threshold (2m rest), 10m Cooldown",Core,Back to work.
5,Wednesday,Upper Strength + Zone 2,"OH Press: 5x3, Wtd Pullups: 5x3, Bench: 4x6",50 min Row/Bike @ Zone 2,Heavier weights.
5,Thursday,Hyrox Sim,"1k Run, Sled Push, 1k Run, Sled Pull, 1k Run, Burpees (40m)",-,Full heavy simulation.
5,Friday,Unilateral + Skill,"Bulg. Split Squat: 3x6 (Heavier), SA KB Press",EMOM 15: 5 Burpee BBJ,Longer EMOM.
5,Saturday,Long Run,75 mins: 55m Easy / 20m Race Pace,Mobility,Building endurance.
5,Sunday,Rest,Full Rest,-,-
6,Monday,Lower Strength + Ski,"Back Squat: 5x3 @ 85%, RDL: 4x6",SkiErg: 5 x 1000m (Rest 3:00),Long hard pulls.
6,Tuesday,Threshold Run,"Run: 10m Warmup, 3 x 12min @ Threshold (2m rest), 10m Cooldown",Core,Long intervals.
6,Wednesday,Upper Strength + Zone 2,"OH Press: 5x3, Wtd Pullups: 5x3",60 min Row/Bike @ Zone 2,Full hour flush.
6,Thursday,Hyrox Sim,"1k Run, 1000m Row, 1k Run, Farmers Carry, 1k Run, Lunges",-,Grip and legs.
6,Friday,Unilateral + Skill,Bulg. Split Squat: 3x6 (Heavy),EMOM 10: 7 Burpee BBJ,Density increased.
6,Saturday,Long Run,80 mins: 60m Easy / 20m Race Pace,Mobility,Peak volume approaching.
6,Sunday,Rest,Full Rest,-,-
7,Monday,Lower Strength + Ski,"Back Squat: 5x2 @ 87.5%, RDL: 4x6",SkiErg: 20 x 100m (Sprint/Rest 60s),Pure speed/power.
7,Tuesday,Threshold Run,"Run: 10m Warmup, 20 mins Tempo (Hard), 5m Rest, 20 mins Tempo",Core,Sustained threshold.
7,Wednesday,Upper Strength + Zone 2,"OH Press: 5x2, Wtd Pullups: 5x2",60 min Row/Bike @ Zone 2,Heavy doubles.
7,Thursday,Hyrox Sim,"1.5k Run, Sled Push, 1.5k Run, Sled Pull, 1.5k Run",-,Over-distance running.
7,Friday,Unilateral + Skill,Bulg. Split Squat: 3x6 (Heavy),100 Wall Balls for Time,Test day.
7,Saturday,Long Run,90 mins: 60m Easy / 30m Race Pace,Mobility,Peak Phase 1 run.
7,Sunday,Rest,Full Rest,-,-
8,Monday,Test Day,Find 3RM Back Squat,SkiErg: 1000m Time Trial,Record these numbers.
8,Tuesday,Easy Run,30 mins Easy,Core,Recovery.
8,Wednesday,Test Day,Find 3RM Overhead Press,Row: 2000m Time Trial,Record these numbers.
8,Thursday,Mobility,Yoga/Stretch,-,Prep for Phase 2.
8,Friday,Run Test,5k Run Time Trial (Best Effort),-,Compare to Week 1.
8,Saturday,Fun,"Hike, Swim, or play a sport",-,Mental break.
8,Sunday,Rest,Full Rest,-,End of Phase 1.
